NO,KODE,Nama Prodi,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO,KAB / KOTA,Universitas,PROVINSI-1,PROVINSI-2,SITUS_WEB,Kelompok,Rasio Peminat,Kategori,Gaji Minimal,Gaji Maksimal,Prospek Kerja 1,Prospek Kerja 2,Prospek Kerja 3,Prospek Kerja 4,Hasil,Bidang Ilmu
23,11121023,ADMINISTRASI PUBLIK,Sarjana,175,260,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Administrasi Publik & Kebijakan,"8,97",Sedang,Rp3.000.000,Rp6.000.000,Analis Kebijakan Publik,Staf Perencanaan,,,Cukup Potensial,Soshum
9,11121009,AGRIBISNIS,Sarjana,125,187,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
8,11121008,AGROEKOTEKNOLOGI,Sarjana,150,242,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
10,11121010,AKUAKULTUR,Sarjana,50,19,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Perikanan & Budidaya Air,"1,35",Sepi Peminat,Rp4.000.000,Rp9.000.000,Ahli Budidaya Ikan,Teknisi Akuakultur,Penyuluh Perikanan,Konsultan Budidaya Air,Sangat Prospektif,Saintek
21,11121021,AKUNTANSI,Sarjana,155,325,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Akuntansi & Keuangan,"10,10",Sedang,Rp4.000.000,Rp8.000.000,Akuntan,Analisis Finansial,Staf Akuntansi,Auditor,Sangat Prospektif,Soshum
26,11121026,ANTROPOLOGI,Sarjana,50,35,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Antropologi & Sosial Budaya,"4,60",Sepi Peminat,Rp3.000.000,Rp5.000.000,Peneliti Sosial Budaya,Konsultan CSR,,,Cukup Potensial,Soshum
29,11121029,EKONOMI SYARIAH,Sarjana,103,157,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Ekonomi Syariah & Islam,"5,51",Sepi Peminat,Rp4.000.000,Rp7.000.000,Staf Keuangan Bank Syariah,Analis Produk Keuangan Syariah,,,Cukup Potensial,Soshum
28,11121028,HUKUM,Sarjana,275,354,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Hukum & Sosial Politik,"6,92",Sepi Peminat,Rp4.000.000,Rp7.000.000,Pengacara,Konsultan Hukum,Analis Kebijakan Publik,,Sangat Potensial,Soshum
22,11121022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,140,85,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Ekonomi & Studi Pembangunan,"5,84",Sepi Peminat,Rp4.000.000,Rp8.000.000,Ekonom,Analis Kebijakan Publik,Staf Perencanaan Pembangunan,,Sangat Potensial,Soshum
17,11121017,ILMU KELAUTAN,Sarjana,50,47,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Ilmu Kelautan & Perikanan,"2,91",Sepi Peminat,Rp4.000.000,Rp10.000.000,Peneliti Kelautan,Konsultan Lingkungan Laut,Manajer Usaha Perikanan,Teknisi Laboratorium Perikanan,Sangat Prospektif,Saintek
27,11121027,ILMU KOMUNIKASI,Sarjana,175,306,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Ilmu Komunikasi & Media,"16,38",Ramai Peminat,Rp3.500.000,Rp6.500.000,Public Relations Officer,Jurnalis,Content Creator,Event Organizer,Sangat Prospektif,Soshum
25,11121025,ILMU POLITIK,Sarjana,100,62,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Ilmu Politik & Sosial,"5,57",Sepi Peminat,Rp3.500.000,Rp6.500.000,Analis Politik,Peneliti Sosial,Staf LSM,,Sangat Potensial,Soshum
11,11121011,KEDOKTERAN,Sarjana,47,738,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Kedokteran,"22,63",Ramai Peminat,Rp8.000.000,Rp15.000.000,Dokter Umum,Dokter Spesialis,Tenaga Kesehatan,,Sangat Potensial,Saintek
34,11123034,KEPERAWATAN,Diploma Tiga,50,124,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Kesehatan & Keperawatan,"18,89",Ramai Peminat,Rp3.500.000,Rp6.500.000,Perawat,Konsultan Kesehatan,Tenaga Kesehatan,,Sangat Potensial,Saintek
33,11121033,KEWIRUSAHAAN,Sarjana,60,80,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Kewirausahaan & Bisnis,"6,34",Sepi Peminat,Rp3.500.000,Rp7.000.000,Wirausaha,Business Development,Marketing,,Sangat Potensial,Saintek
20,11121020,MANAJEMEN,Sarjana,200,616,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Manajemen & Bisnis,"15,97",Sedang,Rp4.000.000,Rp7.000.000,Manajemen,Analis Bisnis,Konsultan Manajemen,,Sangat Potensial,Soshum
31,11121031,PENDIDIKAN BAHASA INDONESIA,Sarjana,90,298,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pendidikan Bahasa  & Sastra Indonesia,"7,84",Sedang,Rp3.000.000,Rp5.500.000,Guru Bahasa Indonesia,Penulis,,,Cukup Potensial,Soshum
12,11121012,PENDIDIKAN FISIKA,Sarjana,60,54,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pendidikan Fisika & IPA,"2,53",Sepi Peminat,Rp4.000.000,Rp8.000.000,Guru IPA,Pengembang Konten Edukasi,Peneliti Fisika,,Sangat Potensial,Saintek
13,11121013,PENDIDIKAN KIMIA,Sarjana,60,51,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pendidikan Kimia & IPA,"2,99",Sepi Peminat,Rp4.000.000,Rp8.000.000,Guru Kimia,Analis Kimia,Peneliti Kimia,Profesi Laboratorium,Sangat Prospektif,Soshum
14,11121014,PENDIDIKAN MATEMATIKA,Sarjana,60,107,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pendidikan Matematika & IPA,"5,57",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru Matematika,Pengembang Kurikulum Sains,Asisten Peneliti,,Sangat Potensial,Saintek
15,11121015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,30,18,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Pendidikan Teknik Mesin,"3,03",Sepi Peminat,Rp4.000.000,Rp11.000.000,Guru Teknik Mesin,Teknisi Mekanik,Desainer Teknik Mesin,Manajer Mekanik,Sangat Prospektif,Soshum
30,11121030,PSIKOLOGI,Sarjana,98,392,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Psikologi & Sosial,"18,51",Ramai Peminat,Rp3.500.000,Rp6.500.000,Psikolog,Konselor,HRD,Peneliti Sosial,Sangat Prospektif,Saintek
16,11121016,SISTEM INFORMASI,Sarjana,100,284,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Sistem Informasi & Teknologi Informasi,"11,95",Sedang,Rp4.000.000,Rp7.000.000,Analis SI,Pengembang Software,Konsultan TI,,Sangat Potensial,Soshum
24,11121024,SOSIOLOGI,Sarjana,103,163,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Sosiologi & Sosial,"4,45",Sepi Peminat,Rp3.500.000,Rp6.000.000,Peneliti Sosial  ,Konsultan LSM,Guru Sosiologi,,Sangat Potensial,Soshum
7,11121007,TEKNIK ARSITEKTUR,Sarjana,75,84,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Arsitektur & Desain,"7,35",Sedang,Rp4.000.000,Rp7.000.000,Arsitek,Desainer Interior,Pelukis,,Sangat Potensial,Saintek
4,11121004,TEKNIK ELEKTRO,Sarjana,100,158,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Elektro & Elektronika,"5,96",Sepi Peminat,Rp7.000.000,Rp12.000.000,Insinyur Listrik,Insinyul Eklektronika,Software Engineer,Desainer Sistem Otomasi,Sangat Prospektif,Saintek
5,11121005,TEKNIK INDUSTRI,Sarjana,125,259,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Industri & Manajemen,"10,15",Sedang,Rp5.000.000,Rp10.000.000,Insinyur Industri,Manajer Proyek,Analis Produk,Spesialis Logistik,Sangat Prospektif,Saintek
6,11121006,TEKNIK INFORMATIKA,Sarjana,148,645,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Informatika & Ilmu Komputer,"16,40",Ramai Peminat,Rp5.000.000,Rp10.000.000,Pengembang Software,Konsultan TI,Pengembang Web,Analis Data,Sangat Prospektif,Saintek
3,11121003,TEKNIK KIMIA,Sarjana,125,126,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Kimia & Material,"6,29",Sepi Peminat,Rp5.000.000,Rp9.000.000,Insinyur Kimia,Peneliti,Teknisi Laboratorium,Konsultan Kimia,Sangat Prospektif,Saintek
19,11121019,TEKNIK LOGISTIK,Sarjana,50,43,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Logistik & Manajemen Rantai Pasok,"6,19",Sepi Peminat,Rp4.000.000,Rp7.000.000,Staf Logistik,Warehouse Supervisor,Transport Coordinator,,Sangat Potensial,Soshum
18,11121018,TEKNIK MATERIAL,Sarjana,50,13,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Material & Metalurgi,"4,59",Sepi Peminat,Rp5.000.000,Rp10.000.000,Insinyur Material,Metalurgis,Quality Control,Peneliti,Sangat Prospektif,Saintek
2,11121002,TEKNIK MESIN,Sarjana,150,215,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Mesin,"6,81",Sepi Peminat,Rp6.000.000,Rp14.000.000,Insinyur Mesin,Teknisi,Operator,Mekanik,Sangat Prospektif,Saintek
1,11121001,TEKNIK SIPIL,Sarjana,165,214,Tidak Ada,Kabupaten Aceh Utara,UNIVERSITAS MALIKUSSALEH,Aceh,,http://pmb.unimal.ac.id/,Teknik Sipil & Lingkungan,"8,12",Sedang,Rp5.000.000,Rp9.000.000,Insinyut Sipil,Konsultan Konstruksi,Manajer Proyek,Pengelola Infrastruktur,Sangat Prospektif,Saintek
2,11141002,AGRIBISNIS,Sarjana,75,175,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
1,11141001,AGROTEKNOLOGI,Sarjana,60,113,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
3,11141003,AKUAKULTUR,Sarjana,30,10,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Perikanan & Budidaya Air,"1,35",Sepi Peminat,Rp4.000.000,Rp9.000.000,Ahli Budidaya Ikan,Teknisi Akuakultur,Penyuluh Perikanan,Konsultan Budidaya Air,Sangat Prospektif,Saintek
25,11141025,AKUNTANSI,Sarjana,60,147,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Akuntansi & Keuangan,"10,10",Sedang,Rp4.000.000,Rp8.000.000,Akuntan,Analisis Finansial,Staf Akuntansi,Auditor,Sangat Prospektif,Soshum
15,11141015,BIOLOGI,Sarjana,15,16,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Biologi & Sains Hayati,"4,23",Sepi Peminat,Rp3.000.000,Rp6.000.000,Peneliti Biologi,Analisis Laboratorium,Dosen,,Sangat Potensial,Saintek
17,11141017,EKONOMI MANAJEMEN,Sarjana,120,360,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Ekonomi & Studi Pembangunan,"5,84",Sepi Peminat,Rp4.000.000,Rp8.000.000,Ekonom,Analis Kebijakan Publik,Staf Perencanaan Pembangunan,,Sangat Potensial,Soshum
18,11141018,EKONOMI PEMBANGUNAN,Sarjana,40,69,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Ekonomi & Studi Pembangunan,"5,84",Sepi Peminat,Rp4.000.000,Rp8.000.000,Ekonom,Analis Kebijakan Publik,Staf Perencanaan Pembangunan,,Sangat Potensial,Soshum
13,11141013,FISIKA,Sarjana,15,6,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Fisika & Sains Dasar,"2,12",Sepi Peminat,Rp3.800.000,Rp8.000.000,Peneliti,Data Analyst,,,Cukup Potensial,Saintek
26,11141026,GEOFISIKA,Sarjana,15,6,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Geologi & Kebumian,"5,35",Sepi Peminat,Rp5.000.000,Rp9.000.000,Geologist ,Surveyor Geospasial,Konsultan Geoteknik,Peneliti ESDM,Sangat Prospektif,Saintek
16,11141016,HUKUM,Sarjana,120,214,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Hukum & Sosial Politik,"6,92",Sepi Peminat,Rp4.000.000,Rp7.000.000,Pengacara,Konsultan Hukum,Analis Kebijakan Publik,,Sangat Potensial,Soshum
11,11141011,INFORMATIKA,Sarjana,90,368,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Teknik Informatika & Ilmu Komputer,"16,40",Ramai Peminat,Rp5.000.000,Rp10.000.000,Pengembang Software,Konsultan TI,Pengembang Web,Analis Data,Sangat Prospektif,Saintek
14,11141014,KIMIA,Sarjana,15,12,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Kimia & Sains Dasar,"4,01",Sepi Peminat,Rp4.500.000,Rp12.000.000,Analis Kimia,Peneliti Sains,Quality Control Industri,Profesor,Sangat Prospektif,Saintek
12,11141012,MATEMATIKA,Sarjana,15,20,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Matematika & Sains Dasar,"4,11",Sepi Peminat,Rp3.500.000,Rp6.000.000,Analis Data,Peneliti,Dosen,Data Scientist,Sangat Prospektif,Soshum
24,11141024,PENDIDIKAN BAHASA INDONESIA,Sarjana,60,199,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Bahasa  & Sastra Indonesia,"7,84",Sedang,Rp3.000.000,Rp5.500.000,Guru Bahasa Indonesia,Penulis,,,Cukup Potensial,Soshum
23,11141023,PENDIDIKAN BAHASA INGGRIS,Sarjana,40,78,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Bahasa Inggris,"6,87",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru Bahasa Inggris,Penerjemah,Penulis,Tour Guide,Sangat Prospektif,Soshum
7,11141007,PENDIDIKAN BIOLOGI,Sarjana,45,73,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Sains & Biologi,"5,40",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru Biologi,Asisten Laboratorium Pendidikan,,,Cukup Potensial,Soshum
5,11141005,PENDIDIKAN FISIKA,Sarjana,15,14,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Fisika & IPA,"2,53",Sepi Peminat,Rp4.000.000,Rp8.000.000,Guru IPA,Pengembang Konten Edukasi,Peneliti Fisika,,Sangat Potensial,Saintek
20,11141020,PENDIDIKAN GEOGRAFI,Sarjana,60,108,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Geografi & Lingkungan,"4,48",Sepi Peminat,Rp3.000.000,Rp5.500.000,Guru Geografi,Pengelola Lingkungan,Staf Edukasi Lingkungan,,Sangat Potensial,Soshum
22,11141022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,155,700,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Guru & PAUD,"10,72",Sedang,Rp3.000.000,Rp5.000.000,Guru PAUD,Pengelola TK,Konsultan Pendidikan Anak Usia Dini,,Sangat Potensial,Soshum
27,11141027,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,15,,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan IPA & Sains,"4,44",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru IPA,Asisten Laboratorium Sekolah,Trainer Sains,,Sangat Potensial,Soshum
21,11141021,PENDIDIKAN JASMANI,Sarjana,60,101,Olahraga,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Jasmani & Olahraga,"4,30",Sepi Peminat,Rp3.000.000,Rp5.500.000,Guru Olahraga,Pelatih Olahraga,Fisioterapis,,Sangat Potensial,Saintek
6,11141006,PENDIDIKAN KIMIA,Sarjana,15,29,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Kimia & IPA,"2,99",Sepi Peminat,Rp4.000.000,Rp8.000.000,Guru Kimia,Analis Kimia,Peneliti Kimia,Profesi Laboratorium,Sangat Prospektif,Soshum
4,11141004,PENDIDIKAN MATEMATIKA,Sarjana,15,48,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Matematika & IPA,"5,57",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru Matematika,Pengembang Kurikulum Sains,Asisten Peneliti,,Sangat Potensial,Saintek
28,11141028,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,15,,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Sosial & Kewarganegaraan,"7,25",Sedang,Rp3.000.000,Rp5.500.000,Guru PPKn,Pengembang Materi Kewarganegaraan,,,Cukup Potensial,Soshum
19,11141019,PENDIDIKAN SEJARAH,Sarjana,40,133,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Sejarah & Sosial,"6,44",Sepi Peminat,Rp3.000.000,Rp5.500.000,Guru Sejarah,Pemandu Wisata Sejarah,,,Cukup Potensial,Soshum
29,11141029,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,15,,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Pendidikan Vokasi & Seni,"5,93",Sepi Peminat,Rp3.500.000,Rp6.000.000,Guru Seni,Instruktur Pelatihan Seni,Seniman,,Sangat Potensial,Soshum
10,11141010,TEKNIK INDUSTRI,Sarjana,60,110,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Teknik Industri & Manajemen,"10,15",Sedang,Rp5.000.000,Rp10.000.000,Insinyur Industri,Manajer Proyek,Analis Produk,Spesialis Logistik,Sangat Prospektif,Saintek
8,11141008,TEKNIK MESIN,Sarjana,55,85,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Teknik Mesin,"6,81",Sepi Peminat,Rp6.000.000,Rp14.000.000,Insinyur Mesin,Teknisi,Operator,Mekanik,Sangat Prospektif,Saintek
9,11141009,TEKNIK SIPIL,Sarjana,75,93,Tidak Ada,Kota Langsa,UNIVERSITAS SAMUDRA,Aceh,,https://camaba.unsam.ac.id/,Teknik Sipil & Lingkungan,"8,12",Sedang,Rp5.000.000,Rp9.000.000,Insinyut Sipil,Konsultan Konstruksi,Manajer Proyek,Pengelola Infrastruktur,Sangat Prospektif,Saintek
1,11111008,AGRIBISNIS,Sarjana,48,309,Tidak Ada,Kota Banda Aceh,UNIVERSITAS SYIAH KUALA,Aceh,,https://pmb.usk.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
1,11111007,AGROTEKNOLOGI,Sarjana,36,181,Tidak Ada,Kota Banda Aceh,UNIVERSITAS SYIAH KUALA,Aceh,,https://pmb.usk.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
1,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,12,20,Tidak Ada,Kota Banda Aceh,UNIVERSITAS SYIAH KUALA,Aceh,,https://pmb.usk.ac.id/,Pertanian & Agribisnis,"4,50",Sepi Peminat,Rp3.500.000,Rp6.500.000,Manajer Kebun,Konsultan Agribisnis,Petani,,Sangat Potensial,Soshum
